date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:13	142687/142687	---M--	200	added ('OK')	image/svg+xml	etag:%2222d5f-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/stm/stm.svg?p9qotg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/stm/stm8e1e.svg	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:13	3616/3616	---M--	200	added ('OK')	application/font-woff	etag:%22e20-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/mega/mega.woff?1e23f5	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/mega/megaf0fd.woff	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:13	11781/11781	---M--	200	added ('OK')	image/svg+xml	etag:%222e05-56851da42bdc0%22	https://wascade.ma/wp-content/uploads/stm_fonts/mega/mega.svg?1e23f5	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/stm_fonts/mega/megaf0fd.svg	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:14	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:14	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%221d70-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:14	11968/11968	---M--	200	added ('OK')	application/x-font-ttf	etag:%222ec0-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:15	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%22357b-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:15	326/326	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2014:47:32%20GMT	https://wascade.ma/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/css/openhand.html	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:15	326/326	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2014:47:32%20GMT	https://wascade.ma/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:16	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-56851da708480%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:16	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-56851da708480%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:16	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-56851da708480%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:17	935/935	---M--	200	added ('OK')	image/png	etag:%223a7-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
23:14:17	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://wascade.ma/wp-content/cache/minify/0381e.css)
